i j Omegaij  Pij
5 82 0.043488 0.043507
5 7 0.003399 0.002166
5 83 0.018937 0.018315
5 84 0.175850 0.175279
5 85 0.178192 0.178002
5 86 0.160711 0.159097
5 21 0.131677 0.130580
6 0 0.015432 0.014622
6 1 0.025355 0.025316
6 2 0.009852 0.009710
6 5 0.034723 0.032013
6 87 0.037527 0.036338
6 88 0.039108 0.038907
6 21 0.026295 0.025853
6 18 0.016386 0.016925
6 89 0.016429 0.015678
6 15 0.003744 0.003939
6 90 0.033100 0.032709
6 91 0.031876 0.031255
6 92 0.029669 0.029842
6 93 0.023860 0.022226
6 27 0.017055 0.017353
6 12 0.012514 0.012789
6 94 0.017910 0.017495
6 95 0.009695 0.009434
6 96 0.012272 0.011527
6 97 0.033071 0.032910
6 98 0.024529 0.023388
6 99 0.030665 0.030017
6 9 0.018507 0.017471
6 75 0.020970 0.020980
6 14 0.012044 0.011464
6 8 0.012172 0.011814
7 0 0.326973 0.304734
7 1 0.521683 0.527600
7 2 0.199046 0.202350
7 5 0.680399 0.667167
7 100 0.410668 0.425093
7 21 0.517346 0.538780
7 101 0.604510 0.595456
7 27 0.372940 0.361631
8 0 0.171249 0.170183
8 1 0.293933 0.294645
8 2 0.113671 0.113005
8 6 0.397060 0.397557
8 21 0.304289 0.300890
8 102 0.337233 0.338933
8 12 0.148115 0.148849
8 103 0.085132 0.085322
8 40 0.167890 0.167029
8 23 0.202396 0.200632
8 20 0.330235 0.331326
8 104 0.200756 0.198340
8 15 0.046440 0.045839
8 105 0.266253 0.264178
8 106 0.408432 0.406631
8 9 0.205442 0.203340
8 29 0.110344 0.112551
9 0 0.365788 0.364052
9 1 0.630550 0.630299
9 6 0.850057 0.850445
9 8 0.291302 0.294122
9 107 0.423476 0.426016
9 108 0.591032 0.589669
9 33 0.525146 0.524217
9 109 0.062982 0.062122
9 110 0.204498 0.205603
9 111 0.042680 0.042828
9 15 0.098665 0.098058
9 112 0.367762 0.364053
9 23 0.427539 0.429187
9 69 0.610462 0.611669
9 113 0.526591 0.527103
9 114 0.950024 0.948460
9 115 0.717482 0.718433
9 29 0.241212 0.240767
9 116 0.420242 0.419410
9 117 0.888372 0.887490
9 118 0.895726 0.894965
9 119 0.160231 0.159287
9 120 0.825576 0.826254
9 121 0.898230 0.899945
9 122 0.889946 0.887807
9 123 0.229064 0.228182
9 124 0.096662 0.095127
9 125 0.368835 0.371785
9 126 0.184368 0.184441
9 127 0.836121 0.835881
9 128 0.948192 0.949269
9 129 0.659351 0.661066
10 0 0.187929 0.189315
10 1 0.330593 0.327770
10 2 0.125134 0.125710
10 3 0.490943 0.491671
10 130 0.250253 0.249899
10 72 0.328608 0.327193
10 44 0.113314 0.112094
10 131 0.108304 0.108043
10 132 0.121365 0.121661
10 133 0.133470 0.134296
10 134 0.380598 0.377651
10 21 0.333462 0.334716
10 135 0.437726 0.437314
10 19 0.252295 0.250897
10 18 0.217464 0.219124
10 17 0.502006 0.502801
10 136 0.048406 0.046950
10 137 0.307339 0.308232
10 26 0.090432 0.091885
10 24 0.430146 0.429612
11 0 0.055292 0.054365
11 2 0.037721 0.036100
11 138 0.145597 0.143168
11 139 0.012755 0.012910
11 140 0.109495 0.108859
11 141 0.023117 0.022470
11 83 0.014074 0.013481
11 142 0.029652 0.029289
11 143 0.093214 0.093698
11 144 0.068062 0.067700
11 145 0.071960 0.072780
11 146 0.134862 0.133107
11 147 0.136195 0.136983
11 148 0.105081 0.107564
11 149 0.077363 0.077699
11 150 0.000917 0.000434
11 151 0.116546 0.117731
11 152 0.115600 0.114817
12 0 0.147849 0.146575
12 1 0.251098 0.253771
12 2 0.096811 0.097329
12 4 0.384612 0.382572
12 5 0.318878 0.320902
12 6 0.343938 0.342407
12 8 0.119765 0.118419
12 153 0.205671 0.205903
12 154 0.128460 0.128583
12 155 0.093306 0.093406
12 23 0.173421 0.172800
12 156 0.181573 0.182523
12 27 0.174564 0.173942
12 21 0.260710 0.259149
12 157 0.355069 0.356538
12 15 0.039440 0.039480
12 17 0.388011 0.389287
12 158 0.181904 0.179314
12 13 0.275211 0.276443
12 68 0.335605 0.335403
12 44 0.085078 0.086788
12 105 0.227798 0.227530
12 75 0.209642 0.210301
12 152 0.311733 0.309561
12 159 0.210815 0.209397
13 0 0.190838 0.190109
13 12 0.165037 0.166276
13 14 0.150924 0.149048
13 160 0.223775 0.223544
13 161 0.082426 0.083135
13 162 0.307799 0.309202
13 163 0.240100 0.240304
13 122 0.461919 0.463615
13 32 0.133643 0.132261
13 23 0.229340 0.224123
13 164 0.414042 0.414720
13 165 0.309854 0.309757
13 33 0.274392 0.273748
13 166 0.137752 0.138871
13 123 0.119172 0.119157
13 167 0.041941 0.040555
13 109 0.033193 0.032440
13 168 0.425216 0.425756
13 169 0.168405 0.168262
13 170 0.032465 0.031412
13 171 0.142233 0.142928
13 172 0.114178 0.114444
13 173 0.165508 0.165711
13 79 0.022133 0.022860
13 135 0.439729 0.439147
13 111 0.023147 0.022365
13 174 0.260007 0.260549
13 175 0.470824 0.471452
13 106 0.456354 0.454241
13 176 0.088805 0.088151
13 177 0.178751 0.180446
13 178 0.197760 0.199702
13 15 0.051973 0.051206
13 179 0.267827 0.270985
13 180 0.018095 0.017235
13 181 0.402911 0.402043
14 0 0.262023 0.261272
14 6 0.608058 0.610346
14 13 0.490897 0.492764
14 75 0.374813 0.374865
14 182 0.056326 0.058546
14 183 0.141199 0.138662
14 184 0.483372 0.482865
14 185 0.268148 0.266195
14 186 0.642361 0.641682
14 123 0.164499 0.163761
14 32 0.181166 0.181771
14 187 0.071839 0.070370
14 188 0.009896 0.009058
14 189 0.208914 0.207601
14 167 0.055372 0.055736
14 33 0.377045 0.376219
14 190 0.457532 0.456308
14 92 0.532249 0.533213
14 22 0.642608 0.643823
15 0 0.153473 0.153713
15 1 0.266845 0.266130
15 2 0.102891 0.102069
15 5 0.337068 0.336530
15 6 0.356867 0.359082
15 8 0.124371 0.124186
15 9 0.183705 0.183661
15 12 0.134397 0.134443
15 13 0.290352 0.289906
15 191 0.321480 0.318047
15 107 0.177200 0.179876
15 23 0.184098 0.181215
15 192 0.134412 0.131984
15 122 0.372282 0.374857
15 193 0.114283 0.114364
15 194 0.301854 0.300427
15 33 0.219815 0.221339
15 195 0.387916 0.387798
15 196 0.089409 0.090226
15 197 0.330374 0.328743
15 198 0.398869 0.395196
15 29 0.101383 0.101658
15 126 0.078881 0.077876
15 199 0.386329 0.387393
15 76 0.013922 0.012297
15 104 0.183784 0.179145
15 200 0.204085 0.204544
15 201 0.203268 0.202891
15 202 0.278111 0.279985
15 203 0.213953 0.210315
15 204 0.258140 0.254550
15 205 0.107291 0.108212
15 206 0.234585 0.231583
15 207 0.275691 0.274611
15 208 0.288152 0.287667
15 209 0.011408 0.010657
15 32 0.106081 0.106940
15 210 0.019076 0.018856
15 211 0.171842 0.170933
15 212 0.404305 0.402940
15 213 0.114943 0.112720
15 214 0.272973 0.273815
15 215 0.264613 0.263155
15 55 0.359852 0.358288
15 216 0.175943 0.172977
15 217 0.139959 0.138981
15 218 0.336974 0.336182
15 219 0.037225 0.037694
15 128 0.399733 0.400808
15 220 0.297313 0.295520
15 221 0.172140 0.173439
16 0 0.136900 0.136073
16 114 0.354530 0.354510
16 23 0.164046 0.160419
16 33 0.197729 0.195939
16 222 0.020785 0.020853
16 223 0.155917 0.155650
16 224 0.288510 0.287445
17 0 0.061027 0.060365
17 1 0.104421 0.104513
17 2 0.039830 0.040084
17 5 0.133231 0.132160
17 10 0.133487 0.131829
17 12 0.053301 0.052798
17 24 0.138434 0.136987
17 38 0.107514 0.106399
17 25 0.079673 0.078731
17 225 0.154215 0.152645
17 22 0.148156 0.148751
17 37 0.061483 0.060846
17 226 0.130536 0.129567
17 20 0.118120 0.117524
17 26 0.029794 0.029298
17 18 0.070279 0.069870
17 21 0.106987 0.106728
17 227 0.074826 0.073562
18 0 0.179956 0.180354
18 1 0.314791 0.312255
18 2 0.119440 0.119759
18 6 0.419855 0.421317
18 10 0.393037 0.393868
18 17 0.479740 0.479002
18 228 0.452392 0.449565
18 229 0.137644 0.136104
18 37 0.184858 0.181790
18 230 0.380036 0.377979
18 19 0.239741 0.239022
18 26 0.087520 0.087535
18 69 0.304872 0.303026
18 136 0.045064 0.044727
18 231 0.006837 0.006724
18 185 0.184485 0.183753
18 119 0.079092 0.078912
18 81 0.462841 0.459800
18 232 0.092666 0.091871
18 233 0.474723 0.473565
18 234 0.358149 0.355868
18 235 0.444709 0.442075
18 236 0.251867 0.251551
18 237 0.292531 0.291436
18 238 0.095604 0.095710
18 239 0.185303 0.183261
18 40 0.177147 0.177011
18 85 0.435750 0.434678
19 0 0.294250 0.294636
19 1 0.510461 0.510117
19 2 0.197590 0.195645
19 10 0.645500 0.643444
19 18 0.343111 0.341028
19 232 0.154077 0.150085
19 227 0.358512 0.359047
19 80 0.035906 0.035351
19 49 0.278216 0.280498
19 240 0.163525 0.165803
19 40 0.289619 0.289175
19 241 0.726126 0.725000
19 105 0.455732 0.457369
19 242 0.572696 0.572067
19 42 0.069382 0.069917
19 243 0.646205 0.645987
19 21 0.520268 0.520927
20 0 0.019940 0.018756
20 2 0.012918 0.012455
20 8 0.016479 0.015153
20 17 0.050548 0.049814
20 244 0.014229 0.013053
20 245 0.037402 0.038659
20 39 0.013930 0.013606
20 24 0.042501 0.042563
20 45 0.036334 0.035762
20 40 0.019100 0.018409
20 53 0.018260 0.018907
20 246 0.029825 0.029647
20 247 0.036391 0.036109
20 46 0.037203 0.036152
20 248 0.010184 0.009843
20 249 0.034952 0.035808
20 250 0.047643 0.048416
20 222 0.002763 0.002874
20 251 0.037858 0.037755
20 252 0.003062 0.002893
20 22 0.045934 0.046219
20 49 0.018188 0.017856
20 253 0.046646 0.046012
20 104 0.021279 0.021859
20 254 0.043527 0.043110
20 209 0.002136 0.001300
20 213 0.014115 0.013754
20 205 0.014343 0.013204
20 54 0.019214 0.018307
20 156 0.023558 0.023356
20 255 0.038371 0.037719
20 106 0.045022 0.044816
20 90 0.041832 0.041956
20 238 0.009685 0.009953
20 256 0.008831 0.008855
20 257 0.049224 0.048038
20 258 0.025466 0.025060
20 58 0.036761 0.035411
20 259 0.028728 0.028157
20 38 0.033257 0.033059
20 102 0.038684 0.037354
20 103 0.009699 0.009403
20 260 0.024156 0.023680
21 0 0.185946 0.182592
21 1 0.319844 0.316129
21 2 0.122609 0.121245
21 3 0.476552 0.474210
21 5 0.398590 0.399756
21 6 0.425636 0.426545
21 7 0.005775 0.005354
21 8 0.147552 0.147518
21 10 0.400824 0.398755
21 12 0.158348 0.159702
21 17 0.482646 0.484945
21 19 0.241606 0.241987
21 26 0.089309 0.088621
21 37 0.185975 0.184046
21 31 0.302040 0.303256
22 0 0.292566 0.290959
22 2 0.192965 0.193203
22 14 0.225599 0.228116
22 17 0.774772 0.772756
22 20 0.568122 0.566461
22 261 0.770377 0.766884
22 262 0.638399 0.640031
22 239 0.297417 0.295648
22 263 0.080594 0.079896
22 37 0.293108 0.293275
22 264 0.670034 0.669452
22 265 0.235802 0.236541
22 226 0.625899 0.624510
22 53 0.291067 0.293292
22 181 0.614483 0.615322
22 133 0.205023 0.206400
22 134 0.581022 0.580412
22 24 0.661230 0.660271
22 42 0.071233 0.069045
22 245 0.599643 0.599702
22 44 0.173131 0.172278
22 266 0.365368 0.366227
22 267 0.190625 0.188547
22 38 0.514341 0.512841
22 142 0.157820 0.156755
22 268 0.731963 0.730092
22 269 0.514198 0.515356
22 270 0.084832 0.083797
22 271 0.564769 0.564529
22 45 0.560031 0.554770
22 43 0.561687 0.561743
22 41 0.102012 0.101654
22 272 0.456107 0.452952
22 79 0.033405 0.034987
22 195 0.734446 0.734051
22 254 0.669649 0.668746
22 273 0.346904 0.345274
22 274 0.581906 0.584217
22 275 0.646918 0.643988
22 49 0.276527 0.276997
22 276 0.722631 0.723672
22 277 0.326612 0.327371
22 278 0.635103 0.633841
22 96 0.232534 0.229375
22 279 0.274658 0.273094
22 202 0.527112 0.529975
22 229 0.219378 0.219571
22 280 0.021789 0.021707
22 281 0.117951 0.117924
22 282 0.600243 0.599516
22 283 0.000899 0.000776
23 0 0.017937 0.017254
23 1 0.029862 0.029873
23 8 0.013620 0.013940
23 9 0.021585 0.020616
23 12 0.016014 0.015091
23 13 0.032313 0.032542
23 15 0.005599 0.004647
23 16 0.025246 0.024875
23 107 0.021898 0.020191
23 284 0.021086 0.019182
23 108 0.028836 0.027948
23 285 0.001083 0.000828
23 181 0.037584 0.036490
23 33 0.025260 0.024846
23 175 0.042898 0.042789
23 286 0.009019 0.008747
23 287 0.024975 0.024363
23 262 0.037570 0.037955
23 288 0.004003 0.003129
23 114 0.046346 0.044953
23 289 0.005257 0.004463
23 166 0.012395 0.012604
23 69 0.028423 0.028990
23 290 0.015458 0.014263
23 118 0.043098 0.042417
23 291 0.006326 0.005406
23 123 0.011127 0.010815
23 57 0.004873 0.004469
23 29 0.012481 0.011411
23 167 0.003847 0.003681
23 32 0.013777 0.012004
23 115 0.036202 0.034050
23 292 0.029577 0.030274
23 293 0.016242 0.015850
23 173 0.015686 0.015040
23 294 0.026201 0.025803
23 109 0.002792 0.002944
23 119 0.008178 0.007549
23 120 0.040092 0.039161
23 295 0.031472 0.030496
23 296 0.043525 0.043446
23 111 0.003191 0.002030
24 0 0.009456 0.009750
24 10 0.023654 0.021292
24 17 0.024736 0.025894
24 20 0.017602 0.018981
24 22 0.026061 0.024025
24 25 0.013101 0.012716
24 226 0.021062 0.020926
24 38 0.017117 0.017185
24 286 0.005041 0.004943
24 264 0.022315 0.022432
24 297 0.022913 0.022885
24 298 0.026288 0.025298
24 299 0.016121 0.015831
24 300 0.008701 0.008344
24 61 0.009000 0.008085
24 301 0.023554 0.023642
24 125 0.009812 0.009957
24 59 0.011478 0.011900
24 302 0.005682 0.005044
24 237 0.015579 0.015754
25 0 0.071271 0.073079
25 17 0.196040 0.194090
25 24 0.162286 0.165837
26 0 0.093897 0.091102
26 2 0.061647 0.060494
26 5 0.201239 0.199453
26 10 0.198150 0.198954
26 17 0.243209 0.241957
26 18 0.107179 0.105446
26 21 0.159323 0.161071
26 94 0.109613 0.109001
26 237 0.147296 0.147212
26 303 0.134105 0.133389
26 234 0.179218 0.179758
26 69 0.153309 0.153067
26 185 0.092462 0.092818
26 231 0.003779 0.003396
26 229 0.068969 0.068750
26 37 0.089973 0.091827
26 304 0.220080 0.219355
26 85 0.219935 0.219568
26 274 0.181653 0.182924
26 305 0.139229 0.138969
26 306 0.002762 0.002722
27 0 0.129533 0.129706
27 2 0.086382 0.086127
27 5 0.287827 0.283969
27 6 0.300248 0.302999
27 7 0.004307 0.003803
27 12 0.116338 0.113445
27 33 0.187427 0.186770
27 232 0.067428 0.066071
27 181 0.272842 0.274302
27 307 0.295345 0.296432
27 308 0.156827 0.157290
27 279 0.123451 0.121742
28 0 0.175708 0.174682
28 309 0.136326 0.136900
28 310 0.280109 0.281811
28 311 0.356859 0.356852
28 312 0.114734 0.113694
28 313 0.383146 0.380577
28 146 0.431463 0.427691
28 314 0.382610 0.381848
28 315 0.377622 0.377850
29 0 0.369750 0.368893
29 8 0.300418 0.298033
29 9 0.442873 0.440764
29 15 0.101489 0.099362
29 23 0.433003 0.434895
29 316 0.260590 0.259673
29 317 0.346539 0.347920
29 318 0.410413 0.412160
29 319 0.004927 0.004917
29 320 0.862337 0.863753
29 321 0.257255 0.256819
29 322 0.893811 0.893000
29 323 0.943479 0.943377
29 48 0.701901 0.703374
29 324 0.061009 0.062953
29 325 0.382577 0.383934
29 177 0.351390 0.350144
29 33 0.528033 0.531189
29 195 0.929971 0.930669
29 326 0.493284 0.491862
29 327 0.689469 0.689541
29 217 0.332424 0.333538
29 199 0.929561 0.929699
29 210 0.046090 0.045253
29 193 0.275842 0.274461
29 200 0.493617 0.490883
30 0 0.268017 0.265053
30 328 0.356519 0.354121
30 44 0.157021 0.156939
30 329 0.679065 0.679753
30 258 0.354226 0.354131
30 250 0.687481 0.684186
30 103 0.133462 0.132885
30 330 0.011699 0.011310
30 201 0.349730 0.349853
30 156 0.328285 0.330060
30 331 0.203195 0.204280
30 332 0.237773 0.236805
30 333 0.621770 0.622601
30 53 0.268727 0.267178
30 334 0.219478 0.218403
30 335 0.674421 0.671440
30 244 0.188937 0.184460
30 336 0.646425 0.646091
30 337 0.469082 0.470640
30 338 0.703660 0.699113
30 339 0.328566 0.328029
30 240 0.149701 0.149156
31 1 0.522392 0.526056
31 21 0.538032 0.537204
31 340 0.462285 0.463537
32 1 0.291403 0.291988
32 13 0.315383 0.318074
32 14 0.135184 0.132222
32 15 0.045404 0.045426
32 23 0.201428 0.198822
32 33 0.241275 0.242845
32 119 0.074969 0.073790
32 168 0.374875 0.377694
33 1 0.354480 0.349233
33 2 0.132469 0.133941
33 5 0.443147 0.441616
33 9 0.242023 0.241011
33 13 0.377451 0.380433
33 14 0.158859 0.158145
33 15 0.054849 0.054331
33 16 0.290422 0.290801
33 23 0.240026 0.237802
33 27 0.239524 0.239373
33 29 0.132770 0.133403
33 32 0.139465 0.140334
33 307 0.463288 0.460997
33 107 0.241219 0.236045
33 341 0.462182 0.460829
33 342 0.146720 0.148974
33 181 0.428379 0.426582
33 54 0.196469 0.196878
33 69 0.339985 0.338910
34 1 0.632494 0.629069
35 1 0.407055 0.413332
36 1 0.319305 0.318745
37 1 0.586662 0.586117
37 17 0.899860 0.899107
37 18 0.394090 0.391836
37 21 0.599369 0.598538
37 22 0.835449 0.834208
37 26 0.163946 0.164308
37 343 0.329823 0.326824
37 344 0.755723 0.754771
37 50 0.860156 0.859429
37 269 0.600421 0.599621
37 236 0.471151 0.472172
37 230 0.712619 0.709483
37 232 0.174362 0.172446
37 345 0.708023 0.704060
37 346 0.389365 0.390966
37 274 0.680780 0.679741
37 347 0.845576 0.846591
37 240 0.188870 0.190505
37 253 0.833533 0.830476
37 348 0.206618 0.205018
37 349 0.779753 0.778989
37 350 0.166698 0.166135
37 351 0.122139 0.120088
37 329 0.868987 0.868198
37 352 0.452754 0.450465
38 2 0.119984 0.118744
38 17 0.473015 0.474942
38 20 0.345297 0.348152
38 22 0.442034 0.440660
38 24 0.404304 0.405808
38 353 0.290271 0.289016
38 45 0.341144 0.340967
38 226 0.386866 0.383829
38 51 0.249286 0.247967
38 104 0.211742 0.208413
38 249 0.340088 0.341398
38 312 0.115460 0.116391
38 41 0.064030 0.062478
38 244 0.127362 0.124451
38 239 0.180832 0.181708
38 245 0.367886 0.368582
38 42 0.043667 0.042435
38 354 0.426194 0.423032
38 355 0.125892 0.126859
38 356 0.252540 0.251783
38 313 0.388435 0.389605
38 331 0.137993 0.137824
38 357 0.248858 0.248475
38 106 0.427450 0.427282
38 40 0.176466 0.175511
38 44 0.106827 0.105884
38 264 0.411767 0.411451
38 49 0.168688 0.170245
39 2 0.155986 0.156835
39 20 0.457576 0.459830
39 358 0.061740 0.061075
39 53 0.240473 0.238082
39 54 0.232089 0.230529
39 335 0.599343 0.598319
39 267 0.153741 0.153055
39 353 0.384585 0.381725
39 292 0.412646 0.414402
39 359 0.033592 0.033374
39 45 0.450423 0.450340
39 360 0.160576 0.159360
39 55 0.551619 0.550530
39 361 0.178704 0.178880
39 362 0.451914 0.450305
39 363 0.505864 0.505692
39 48 0.450872 0.450344
39 46 0.459241 0.455251
39 41 0.084038 0.082519
39 364 0.098416 0.098877
39 354 0.560857 0.558729
39 104 0.274832 0.275266
39 156 0.297941 0.294116
39 57 0.062811 0.061169
39 202 0.431788 0.430212
39 365 0.437160 0.437467
39 366 0.376318 0.375443
40 2 0.114187 0.113290
40 8 0.138674 0.137839
40 18 0.197066 0.197476
40 19 0.224350 0.226111
40 20 0.333557 0.332161
40 38 0.302192 0.300719
40 353 0.274109 0.275741
40 352 0.229187 0.227023
40 86 0.368404 0.367525
40 367 0.185622 0.184734
40 244 0.121236 0.118735
40 261 0.449670 0.449685
40 259 0.258098 0.256128
40 357 0.240161 0.237063
40 133 0.122849 0.121029
40 269 0.301535 0.302194
40 53 0.172308 0.171980
40 368 0.109735 0.110550
40 249 0.327093 0.325717
40 369 0.295913 0.296598
40 370 0.253275 0.252486
40 209 0.012358 0.011829
40 193 0.126930 0.126938
40 49 0.163018 0.162426
40 371 0.372071 0.369867
40 134 0.343346 0.340342
40 245 0.352265 0.351653
40 331 0.134036 0.131493
40 102 0.340278 0.339787
40 50 0.436556 0.433131
40 372 0.268658 0.267010
40 61 0.143355 0.141490
40 47 0.454180 0.452537
40 45 0.324496 0.325306
40 373 0.396273 0.397189
40 105 0.265133 0.264844
40 93 0.260510 0.259334
40 374 0.026242 0.026380
40 237 0.274680 0.275693
40 375 0.044008 0.043719
40 376 0.177360 0.175811
40 333 0.401267 0.400762
40 246 0.271012 0.269681
40 377 0.287408 0.288009
40 378 0.086447 0.090962
40 354 0.403465 0.403601
40 46 0.328434 0.328854
40 190 0.298881 0.297972
40 234 0.334113 0.336645
41 2 0.225278 0.223308
41 22 0.832408 0.828696
41 38 0.593272 0.592752
41 39 0.242448 0.243947
41 302 0.172538 0.173995
41 379 0.433477 0.429564
41 380 0.737621 0.737215
41 104 0.393747 0.391937
41 381 0.016768 0.015264
41 371 0.730358 0.729050
41 270 0.097460 0.096855
41 382 0.298277 0.296846
41 383 0.762513 0.764148
41 384 0.868944 0.868124
41 385 0.023868 0.023317
41 386 0.695723 0.692362
41 355 0.238913 0.238569
41 387 0.582920 0.582867
41 388 0.878241 0.878029
41 49 0.323333 0.320159
41 389 0.513530 0.512060
41 390 0.658859 0.658239
41 313 0.732333 0.732682
41 391 0.841215 0.841194
41 103 0.169360 0.168603
41 244 0.236937 0.234041
41 332 0.297802 0.300454
41 392 0.073697 0.073545
41 331 0.258295 0.259188
41 43 0.650720 0.649274
41 393 0.855146 0.853182
41 377 0.568498 0.567699
41 394 0.068127 0.067288
41 395 0.758295 0.755147
41 396 0.093287 0.090558
41 336 0.823481 0.819752
41 354 0.794505 0.795545
41 397 0.408718 0.407978
41 353 0.542923 0.543518
41 44 0.198975 0.199123
41 133 0.239804 0.238561
41 334 0.276444 0.277107
41 156 0.417154 0.418776
41 398 0.222412 0.222378
41 399 0.227076 0.229571
41 337 0.598648 0.597142
41 400 0.816738 0.813398
41 83 0.084182 0.083395
41 401 0.719248 0.718265
41 402 0.317139 0.317450
41 403 0.168885 0.169490
42 2 0.071413 0.071685
42 19 0.141115 0.143073
42 22 0.270216 0.266023
42 38 0.188948 0.190282
42 268 0.269091 0.270889
42 45 0.204338 0.205839
42 404 0.016154 0.016691
42 281 0.044413 0.043754
42 229 0.080997 0.081468
42 239 0.108671 0.109696
43 2 0.127183 0.124716
43 22 0.463338 0.462820
43 41 0.066161 0.065620
43 340 0.284679 0.286533
43 405 0.359088 0.358954
43 406 0.300477 0.298011
43 407 0.474797 0.476278
43 331 0.144665 0.144755
43 408 0.446170 0.448264
43 409 0.356448 0.354138
43 385 0.013886 0.013023
43 410 0.155098 0.153264
43 411 0.191960 0.190811
43 134 0.374914 0.374666
43 51 0.259476 0.260437
43 382 0.167471 0.165786
43 412 0.170996 0.168297
43 413 0.306927 0.305486
44 2 0.042363 0.041835
44 10 0.139757 0.137589
44 12 0.058078 0.055104
44 22 0.156815 0.155250
44 30 0.051191 0.051074
44 38 0.111973 0.111048
44 41 0.023751 0.022012
44 414 0.060946 0.060324
44 398 0.041900 0.041661
44 72 0.108895 0.108887
44 332 0.056434 0.056288
44 415 0.100590 0.099943
44 354 0.148301 0.149039
44 416 0.072716 0.073243
44 417 0.086713 0.087033
44 250 0.162895 0.162630
44 418 0.028202 0.027543
44 226 0.135126 0.135228
44 419 0.057525 0.056285
44 420 0.032698 0.032082
44 49 0.059153 0.059979
44 421 0.145567 0.144463
44 53 0.064082 0.063508
44 190 0.112630 0.110033
44 422 0.045395 0.045023
44 361 0.048637 0.047716
44 423 0.120173 0.122237
