Inf_UN Inf_GT Sus_UN Sus_GT F_GT G_GT
0.6730 0.6848 0.7470 0.7337 2.3239 1.5792
0.7170 0.7296 0.1880 0.1847 5.3524 1.5907
0.6760 0.6879 0.4370 0.4294 23.1611 17.0211
0.5470 0.5566 0.5820 0.5719 6.5892 8.6916
0.6210 0.6319 0.8960 0.8803 5.9604 6.3732
0.8850 0.9003 0.4390 0.4311 2.6444 1.1893
0.3650 0.3710 0.6080 0.5968 0.3249 0.6183
0.5480 0.5575 0.0640 0.0629 2.3520 0.2763
0.0410 0.0416 0.2120 0.2081 0.0184 0.2059
0.3210 0.3266 0.0440 0.0433 2.2143 0.4191
0.7460 0.7589 0.3750 0.3684 3.0907 2.4187
0.1800 0.1830 0.5430 0.5334 0.2752 1.6735
0.6040 0.6148 0.9770 0.9599 4.4859 5.1742
0.5390 0.5486 0.7400 0.7271 9.4638 12.0561
0.5930 0.6034 0.4320 0.4244 3.9778 2.9609
0.8210 0.8354 0.9140 0.8981 3.6846 5.1522
0.5610 0.5707 0.9220 0.9057 1.8008 3.6271
0.4320 0.4396 0.1640 0.1612 5.3408 2.5036
0.7640 0.7774 0.8510 0.8362 3.8918 4.2848
0.0010 0.0010 0.9270 0.9108 0.0076 6.9785
0.8490 0.8631 0.9150 0.8985 1.0663 1.7275
0.2300 0.2341 0.2350 0.2309 1.8451 2.0903
0.9130 0.9289 0.0980 0.0963 5.1813 0.5765
0.0100 0.0102 0.3830 0.3762 0.0136 0.7288
0.2020 0.2055 0.1900 0.1867 1.4605 1.3866
0.9270 0.9433 0.8610 0.8459 18.3694 16.5519
0.2980 0.3031 0.9780 0.9607 0.8606 4.0431
0.7890 0.8028 0.6810 0.6690 4.8239 3.9049
0.2540 0.2585 0.4950 0.4863 3.0460 4.1511
0.9110 0.9269 0.2140 0.2103 5.3949 1.5348
0.1040 0.1058 0.2410 0.2368 0.7671 1.5612
0.0930 0.0946 0.2660 0.2614 1.9136 5.3112
0.5990 0.6096 0.7480 0.7349 13.5176 14.3810
0.8310 0.8459 0.8660 0.8511 7.1233 5.5251
0.4140 0.4213 0.0930 0.0914 6.2398 1.6202
0.9730 0.9895 0.6110 0.5998 1.5334 0.7692
0.2290 0.2329 0.9890 0.9702 0.4745 0.7467
0.9630 0.9800 0.0890 0.0875 18.4925 1.3749
0.0320 0.0326 0.7510 0.7377 0.1066 2.6300
0.7770 0.7906 0.1550 0.1523 8.9223 1.5106
0.8750 0.8904 0.2020 0.1985 13.3630 3.1595
0.0750 0.0764 0.6460 0.6350 0.3416 2.9761
0.3750 0.3816 0.4670 0.4588 3.3600 3.7243
0.2460 0.2504 0.5020 0.4932 3.6182 6.0767
0.3640 0.3705 0.9180 0.9020 3.8926 10.5212
0.7910 0.8048 0.9450 0.9283 4.7832 5.0869
0.6930 0.7051 0.7420 0.7289 4.5329 4.2049
0.5900 0.6003 0.5360 0.5266 5.0451 4.5667
0.9990 1.0153 0.0030 0.0029 0.8621 0.0019
0.1860 0.1893 0.8120 0.7978 2.4790 9.0782
0.2870 0.2920 0.7920 0.7781 1.5320 4.6665
0.5250 0.5336 0.5270 0.5175 0.4489 1.0740
0.0600 0.0610 0.3290 0.3232 0.4581 2.7406
0.8940 0.9094 0.2390 0.2348 2.2833 0.8475
0.5490 0.5585 0.4670 0.4588 3.0299 3.0159
0.5250 0.5344 0.9120 0.8962 2.8387 5.1847
0.2830 0.2878 0.4590 0.4507 0.3857 0.7408
0.1700 0.1737 0.5350 0.5263 0.2802 0.9502
0.0550 0.0559 0.4410 0.4332 0.1867 2.2253
0.8800 0.8953 0.1640 0.1611 7.2970 1.0325
0.6080 0.6185 0.6100 0.5992 2.3524 2.6279
0.3040 0.3092 0.4740 0.4657 0.7521 1.6865
0.4050 0.4120 0.8180 0.8037 2.1153 4.6986
0.0940 0.0956 0.6110 0.6003 0.4284 2.3572
0.5670 0.5767 0.2740 0.2691 2.0083 0.7801
0.0910 0.0926 0.0800 0.0786 0.5814 0.4878
0.0400 0.0407 0.8400 0.8251 0.1414 2.5175
0.8430 0.8574 0.3320 0.3261 2.1319 0.7267
0.2680 0.2726 0.0620 0.0609 0.5676 0.0963
0.5560 0.5656 0.2820 0.2770 2.0850 0.8178
0.6780 0.6892 0.2260 0.2218 0.8007 0.1833
0.8090 0.8228 0.3270 0.3211 2.4124 0.7044
0.7270 0.7385 0.5150 0.5049 0.5140 0.2611
0.7530 0.7661 0.9300 0.9137 6.4231 7.7125
0.5570 0.5665 0.1740 0.1708 1.3685 0.2629
0.7750 0.7883 0.3560 0.3497 2.6373 1.3250
0.4610 0.4688 0.3940 0.3870 0.8505 1.0145
0.6220 0.6325 0.5350 0.5252 1.0344 0.6276
0.2450 0.2492 0.0340 0.0334 1.0383 0.1625
0.2040 0.2077 0.7930 0.7791 3.0994 9.8395
0.8570 0.8721 0.0840 0.0826 15.2906 1.6067
0.5280 0.5372 0.1990 0.1955 2.5471 1.0087
0.3230 0.3287 0.6930 0.6809 4.9186 10.9404
0.6000 0.6106 0.3820 0.3754 4.8048 2.3436
0.6560 0.6674 0.9210 0.9048 2.7919 4.9725
0.6660 0.6776 0.1010 0.0992 4.3949 0.6323
0.9320 0.9483 0.0130 0.0128 8.4700 0.1263
0.8890 0.9044 0.2980 0.2927 2.9284 1.1923
0.8250 0.8392 0.6550 0.6434 4.5952 5.0789
0.2990 0.3044 0.7760 0.7623 1.6185 2.7742
0.9910 1.0084 0.3220 0.3163 12.0763 3.3082
0.5090 0.5180 0.2790 0.2741 5.6636 2.9998
0.6580 0.6694 0.7330 0.7201 1.5838 2.5611
0.3990 0.4061 0.9460 0.9295 8.8047 21.3805
0.2750 0.2798 0.2200 0.2163 1.5048 1.3059
0.6010 0.6116 0.8020 0.7879 10.2452 10.7917
0.6310 0.6422 0.9640 0.9472 5.2796 8.8919
0.9090 0.9250 0.9450 0.9285 10.6926 13.0051
0.6930 0.7052 0.4990 0.4903 9.5613 8.1137
0.6510 0.6625 0.4950 0.4863 5.5166 3.7209
0.8790 0.8944 0.6830 0.6711 5.6485 4.8336
0.9270 0.9434 0.5130 0.5041 16.7833 10.9695
0.6690 0.6808 0.6210 0.6101 11.4847 9.2827
0.1790 0.1821 0.2640 0.2594 2.5613 3.4534
0.4230 0.4304 0.5650 0.5551 4.2579 4.3652
0.4760 0.4843 0.6700 0.6582 2.5780 3.0465
0.5810 0.5910 0.7020 0.6895 1.3642 2.0870
0.1160 0.1180 0.0260 0.0255 1.1621 0.2921
0.0010 0.0010 0.0460 0.0452 0.0087 0.3590
0.0660 0.0672 0.4170 0.4097 1.0027 4.9702
0.4370 0.4447 0.9830 0.9658 4.4801 10.2026
0.8350 0.8497 0.2750 0.2702 8.7650 2.6463
0.2210 0.2249 0.6680 0.6563 3.2297 9.2658
0.4350 0.4426 0.6420 0.6307 4.3104 6.1266
0.5010 0.5098 0.4220 0.4146 3.7856 3.4406
0.9300 0.9464 0.3390 0.3331 11.1637 4.2687
0.0670 0.0682 0.8200 0.8058 1.0235 14.3705
0.3810 0.3876 0.0920 0.0903 1.3998 0.2205
0.5030 0.5118 0.7210 0.7083 3.7479 4.6274
0.4500 0.4580 0.4230 0.4157 3.3700 2.9559
0.2410 0.2455 0.0570 0.0565 0.8059 0.1724
0.0840 0.0855 0.4290 0.4214 0.4582 1.8301
0.0820 0.0834 0.7930 0.7783 0.1579 0.7732
0.4760 0.4839 0.9490 0.9316 0.4903 1.0866
0.7450 0.7581 0.8050 0.7908 7.7048 5.7992
0.7200 0.7325 0.4570 0.4490 3.2234 2.8567
0.6390 0.6498 0.9360 0.9184 1.2090 0.7853
0.2940 0.2992 0.2830 0.2780 1.6832 1.6969
0.8520 0.8669 0.7860 0.7721 7.2335 5.0697
0.5660 0.5750 0.0140 0.0137 0.3487 0.0101
0.8790 0.8946 0.1910 0.1877 21.0187 4.0691
0.1880 0.1913 0.9850 0.9674 0.6501 3.1146
0.2180 0.2219 0.7400 0.7270 1.4279 4.9491
0.5610 0.5702 0.9200 0.9031 0.4886 1.0644
0.2020 0.2056 0.5230 0.5139 3.0177 7.4951
0.7850 0.7988 0.6060 0.5953 6.9017 5.0486
0.5070 0.5159 0.1990 0.1955 5.6880 1.9249
0.0460 0.0468 0.3810 0.3744 0.3791 3.0796
0.4740 0.4823 0.2110 0.2073 6.8360 3.6826
0.8740 0.8891 0.9230 0.9066 2.2750 2.0601
0.3130 0.3186 0.7280 0.7153 4.0361 11.1653
0.9410 0.9574 0.8220 0.8078 3.3481 4.6221
0.4510 0.4589 0.2610 0.2564 2.5603 1.6038
0.3260 0.3317 0.7730 0.7594 2.0421 4.1757
0.3570 0.3629 0.5940 0.5824 0.3920 0.3000
0.0800 0.0814 0.7220 0.7093 0.6902 5.1284
0.0200 0.0203 0.1970 0.1933 0.0260 0.1669
0.4630 0.4711 0.7160 0.7034 2.7817 3.7783
0.0270 0.0275 0.9680 0.9510 0.1648 6.8476
0.2750 0.2798 0.7550 0.7416 1.6173 2.6984
0.4700 0.4776 0.0590 0.0568 0.3431 0.0030
0.4390 0.4467 0.9200 0.9038 4.1068 5.5945
0.6410 0.6523 0.8620 0.8468 6.6587 7.8020
0.0080 0.0081 0.7540 0.7409 0.0764 4.4916
0.8930 0.9087 0.1770 0.1739 7.0529 0.9891
0.0980 0.0997 0.9610 0.9436 0.3557 1.5760
0.3880 0.3948 0.5010 0.4922 3.5642 5.7064
0.0400 0.0407 0.5630 0.5531 0.1862 2.1174
0.4390 0.4461 0.4830 0.4651 0.3205 0.0242
0.6470 0.6579 0.9890 0.9711 1.3483 2.3004
0.7250 0.7377 0.8250 0.8104 4.4051 5.1760
0.9310 0.9471 0.1030 0.1012 3.1272 0.3017
0.1680 0.1710 0.8630 0.8477 0.6742 3.4900
0.0860 0.0875 0.3050 0.2995 0.1936 0.9071
0.6300 0.6412 0.4720 0.4637 5.8395 3.7925
0.8820 0.8974 0.2430 0.2387 9.4577 3.1415
0.1740 0.1771 0.9410 0.9245 2.5077 11.0859
0.2290 0.2333 0.6640 0.6526 1.7855 4.9813
0.9810 0.9982 0.1080 0.1061 12.5225 1.4164
0.4400 0.4476 0.7280 0.7148 1.0120 1.3621
0.6270 0.6378 0.5840 0.5735 1.6014 1.3298
0.2290 0.2331 0.4450 0.4372 2.6145 6.0249
0.7490 0.7621 0.7530 0.7398 4.8670 4.1761
0.1680 0.1710 0.8300 0.8154 1.2215 5.9494
0.0790 0.0806 0.9330 0.9163 0.4354 2.9072
0.0010 0.0010 0.4220 0.4145 0.0053 2.1868
0.5950 0.6054 0.8170 0.8026 3.3820 4.9159
0.4590 0.4670 0.3520 0.3458 2.0949 1.8536
0.5660 0.5756 0.0280 0.0275 1.0828 0.0361
0.8720 0.8873 0.1520 0.1493 9.6417 1.3878
0.4720 0.4801 0.7730 0.7591 1.0681 1.8281
0.8440 0.8588 0.0010 0.0010 9.2182 0.0095
0.9820 0.9989 0.4170 0.4096 3.4684 1.3361
0.8190 0.8331 0.0180 0.0177 2.5946 0.0411
0.3000 0.3054 0.1900 0.1868 3.8175 1.9283
0.0950 0.0966 0.5300 0.5202 0.1941 0.5671
0.4650 0.4732 0.0680 0.0668 6.1757 0.6318
0.2500 0.2544 0.0970 0.0953 1.6678 0.4763
0.4260 0.4334 0.3100 0.3046 2.7694 2.4481
0.1410 0.1434 0.1180 0.1154 0.1741 0.0295
0.9930 1.0103 0.6580 0.6464 6.9292 4.5889
0.6090 0.6182 0.3520 0.3384 0.2692 0.0162
0.4640 0.4716 0.5610 0.5510 0.5104 0.9773
0.0290 0.0295 0.6630 0.6512 0.1258 1.6800
0.3620 0.3684 0.9440 0.9277 2.2078 5.6442
0.1960 0.1994 0.8810 0.8648 0.8299 1.0281
0.8140 0.8283 0.9730 0.9560 15.2283 17.2552
0.4630 0.4711 0.6090 0.5982 3.2757 2.9354
0.3400 0.3459 0.3210 0.3153 1.2940 0.9819
0.0350 0.0356 0.9100 0.8934 0.0769 1.3668
0.8480 0.8628 0.1940 0.1906 10.6407 2.7123
0.2060 0.2097 0.5490 0.5394 0.1945 0.8043
0.3210 0.3266 0.9030 0.8871 2.2024 6.1142
0.7970 0.8109 0.5720 0.5620 5.5407 3.7163
0.3710 0.3776 0.0110 0.0110 1.8832 0.0373
0.8140 0.8284 0.8570 0.8420 8.6561 7.1654
0.7260 0.7379 0.4550 0.4468 0.6164 0.6147
0.5840 0.5942 0.2940 0.2887 1.7578 0.5295
0.1810 0.1842 0.6050 0.5944 0.9017 2.6620
0.2600 0.2647 0.7660 0.7526 1.4248 5.1843
0.1430 0.1456 0.2440 0.2398 1.3888 2.5400
0.1210 0.1231 0.8170 0.8027 1.0421 7.7836
0.4090 0.4162 0.8200 0.8054 2.1505 2.1525
0.6780 0.6900 0.8110 0.7969 9.5456 12.3661
0.2050 0.2086 0.2640 0.2593 1.2597 1.5592
0.1860 0.1885 0.3540 0.3475 0.0461 0.3483
0.0090 0.0092 0.4190 0.4116 0.0093 0.7010
0.4870 0.4954 0.0050 0.0049 1.5263 0.0169
0.8450 0.8599 0.8780 0.8627 7.9126 9.3972
0.3290 0.3349 0.2610 0.2565 3.1647 2.9454
0.0560 0.0570 0.9080 0.8919 0.2527 4.4937
0.9330 0.9493 0.9590 0.9422 4.6277 7.1369
0.9860 1.0032 0.0640 0.0629 6.0304 0.4465
0.0170 0.0178 0.3900 0.3834 0.0439 1.1727
0.3170 0.3226 0.5000 0.4912 4.6032 5.8470
0.0640 0.0651 0.7010 0.6887 0.2486 4.2775
0.6970 0.7092 0.5010 0.4922 6.5497 5.9714
0.4980 0.5067 0.9620 0.9449 2.9058 4.4367
0.7070 0.7194 0.0160 0.0157 8.2754 0.1452
0.6270 0.6380 0.2890 0.2839 12.1525 5.8205
0.3640 0.3704 0.3350 0.3292 9.5019 9.6021
0.9590 0.9758 0.8810 0.8654 6.4713 5.6851
0.9700 0.9869 0.3090 0.3036 7.9230 3.1410
0.2690 0.2738 0.9500 0.9333 1.2436 6.1997
0.5980 0.6085 0.9140 0.8981 3.3344 6.2051
0.2280 0.2320 0.6660 0.6542 1.4369 4.4975
0.5140 0.5231 0.9890 0.9718 6.3546 14.7252
0.5960 0.6065 0.4640 0.4560 4.8103 4.4989
0.0680 0.0692 0.5720 0.5621 1.1931 11.6671
0.1600 0.1628 0.8580 0.8417 0.2163 0.6341
0.1490 0.1516 0.2770 0.2721 0.3418 0.8349
0.6190 0.6299 0.3620 0.3557 5.6081 2.4811
0.6810 0.6920 0.8370 0.8214 0.8444 0.9952
0.8550 0.8699 0.7800 0.7662 3.8620 3.9382
0.3250 0.3307 0.4330 0.4255 1.9815 3.1250
0.2190 0.2229 0.9380 0.9213 0.9224 3.1770
0.2150 0.2188 0.2270 0.2231 0.8684 1.1927
0.2860 0.2915 0.8620 0.8478 1.1045 3.2368
0.5670 0.5770 0.1840 0.1808 5.1506 1.4915
0.6940 0.7062 0.1330 0.1307 5.2591 0.8951
0.6350 0.6461 0.4990 0.4902 4.5510 3.5444
0.8110 0.8253 0.6060 0.5954 16.4146 12.4388
0.8060 0.8203 0.8870 0.8715 15.3245 16.0866
0.2920 0.2971 0.2660 0.2614 4.9412 4.8002
0.6250 0.6359 0.5280 0.5187 2.6800 2.2630
0.3230 0.3287 0.5210 0.5119 3.5113 5.5262
0.5460 0.5554 0.0970 0.0953 1.3437 0.2686
0.9520 0.9682 0.0530 0.0521 1.6984 0.1442
0.0670 0.0682 0.2530 0.2486 0.4533 2.5113
0.5260 0.5352 0.2840 0.2790 4.1764 2.1303
0.8780 0.8933 0.7150 0.7024 5.9133 5.4033
0.9050 0.9208 0.8030 0.7888 6.1993 3.8070
0.0220 0.0224 0.1570 0.1542 0.0891 0.7458
0.1940 0.1973 0.6950 0.6824 0.5954 1.5735
0.6030 0.6137 0.5960 0.5856 9.1258 9.4627
0.4270 0.4345 0.4060 0.3989 5.9238 5.5492
0.9550 0.9716 0.2430 0.2387 4.2985 1.2945
0.4970 0.5056 0.6520 0.6405 1.0800 1.7565
0.1570 0.1597 0.5550 0.5452 1.2405 3.7163
0.6280 0.6389 0.8130 0.7987 3.7686 5.4625
0.3830 0.3896 0.5870 0.5766 1.8928 2.4842
0.4600 0.4668 0.8750 0.8577 0.1693 0.3981
0.5980 0.6084 0.0580 0.0570 1.8975 0.1512
0.9090 0.9251 0.0960 0.0944 13.2023 1.2891
0.6680 0.6801 0.3860 0.3797 3.6600 1.9007
0.4940 0.5027 0.6330 0.6219 9.6641 13.0923
0.8540 0.8688 0.2000 0.1964 2.2520 0.4386
0.5570 0.5666 0.4790 0.4706 2.4903 2.9042
0.7380 0.7509 0.8220 0.8076 7.0317 11.6469
0.9450 0.9615 0.0170 0.0167 7.2255 0.1533
0.2070 0.2106 0.3310 0.3252 1.3262 2.9065
0.7950 0.8090 0.8520 0.8372 8.9334 11.7653
0.8480 0.8627 0.9680 0.9511 4.6632 7.9695
0.7250 0.7376 0.0260 0.0255 5.4165 0.2316
0.9590 0.9757 0.7720 0.7585 6.2325 6.4586
0.0640 0.0651 0.6500 0.6386 0.3085 3.4073
0.7440 0.7571 0.9790 0.9619 11.6518 14.0633
0.1330 0.1353 0.5710 0.5610 1.8162 7.9495
0.7390 0.7521 0.7340 0.7211 5.2439 4.4341
0.8780 0.8934 0.9380 0.9216 6.1460 7.3173
0.3640 0.3704 0.0820 0.0806 4.5620 1.1178
0.4580 0.4655 0.9520 0.9347 0.4026 1.4242
0.0260 0.0265 0.0750 0.0737 0.1212 0.3977
0.2570 0.2616 0.8420 0.8273 5.4173 16.2725
0.5330 0.5421 0.1010 0.0992 1.1593 0.3229
0.5930 0.6033 0.4550 0.4470 2.2060 2.1685
0.1840 0.1872 0.2480 0.2436 1.3533 1.7702
0.9680 0.9847 0.2560 0.2515 2.9117 1.2892
0.6210 0.6319 0.9070 0.8911 7.3607 9.6006
0.4260 0.4335 0.8010 0.7869 2.1415 3.4579
0.8410 0.8555 0.3540 0.3478 2.6719 1.6036
0.1180 0.1201 0.1890 0.1857 0.7393 1.6318
0.2460 0.2502 0.0580 0.0570 0.5838 0.1254
0.0860 0.0875 0.7170 0.7041 0.2667 1.5265
0.7260 0.7388 0.5950 0.5846 5.5938 3.6027
0.6230 0.6339 0.9510 0.9343 3.8956 5.4530
0.9030 0.9188 0.8950 0.8793 9.1384 8.5473
0.9990 1.0166 0.7070 0.6947 12.0070 8.5787
0.8350 0.8495 0.3060 0.3006 3.5529 1.7197
0.7850 0.7988 0.3810 0.3743 5.3561 1.8078
0.6130 0.6237 0.3360 0.3301 6.2593 3.0096
0.4180 0.4253 0.6100 0.5992 2.5306 3.1323
0.1570 0.1597 0.3590 0.3528 1.4860 4.8347
0.8140 0.8282 0.5950 0.5844 4.3134 2.1265
0.6210 0.6317 0.4360 0.4283 2.2902 2.0780
0.4760 0.4844 0.5180 0.5089 3.1254 3.0101
0.0710 0.0722 0.1640 0.1611 0.1376 0.4574
0.5590 0.5687 0.3350 0.3291 3.5306 2.7125
0.3030 0.3078 0.1910 0.1876 0.1973 0.4003
0.5210 0.5300 0.8600 0.8448 1.7094 3.6533
0.0370 0.0376 0.2680 0.2633 0.0845 0.7528
0.3080 0.3120 0.7320 0.7148 0.0684 0.1230
0.0710 0.0722 0.6060 0.5954 0.3369 3.4384
0.5330 0.5422 0.9010 0.8850 2.5190 3.5310
0.9250 0.9415 0.7650 0.7518 7.1761 7.5222
0.1270 0.1292 0.7880 0.7738 0.2315 1.3498
0.3010 0.3063 0.9020 0.8862 5.2458 14.1181
0.6030 0.6136 0.7970 0.7829 3.9014 4.4895
0.4040 0.4111 0.8990 0.8832 2.8385 6.9807
0.9850 1.0022 0.2860 0.2810 5.7691 1.9994
0.6340 0.6452 0.4960 0.4873 3.7000 2.6104
0.3530 0.3592 0.9010 0.8853 6.6653 17.4488
0.0500 0.0509 0.3140 0.3084 0.1831 1.2083
0.4930 0.5014 0.3100 0.3044 0.9244 0.4659
0.0070 0.0071 0.0520 0.0511 0.0362 0.1708
0.3320 0.3378 0.1490 0.1464 1.7911 0.9464
0.0690 0.0702 0.0670 0.0658 0.5403 0.6721
0.1160 0.1180 0.2680 0.2632 0.2305 0.4208
0.0260 0.0265 0.5440 0.5345 0.2518 4.3455
0.2300 0.2339 0.7980 0.7836 0.4264 1.5872
0.2580 0.2626 0.2920 0.2869 1.7585 1.6626
0.5460 0.5555 0.5060 0.4970 2.4521 2.5082
0.9670 0.9840 0.5520 0.5422 6.2691 2.7175
0.4140 0.4213 0.2160 0.2122 5.0036 2.3849
0.8750 0.8903 0.8330 0.8184 5.5029 7.6153
0.4510 0.4587 0.9980 0.9800 0.7983 1.9671
0.1960 0.1994 0.5880 0.5773 0.3428 0.7679
0.4040 0.4109 0.5180 0.5085 1.0658 1.0448
0.4800 0.4884 0.1260 0.1238 3.1882 0.9315
0.6660 0.6778 0.0300 0.0295 8.2717 0.4090
0.6500 0.6612 0.5980 0.5874 1.6367 1.8305
0.1120 0.1140 0.9560 0.9395 1.8586 18.1152
0.1930 0.1964 0.1630 0.1601 0.9378 0.6584
0.3950 0.4019 0.7970 0.7829 1.7025 3.2677
0.2860 0.2910 0.0900 0.0884 1.6251 0.5458
0.0140 0.0143 0.7750 0.7614 0.1461 5.5785
0.8270 0.8420 0.8550 0.8402 4.2574 4.1450
0.8940 0.9100 0.7500 0.7371 11.9957 9.8400
0.3630 0.3692 0.7920 0.7777 0.5554 1.2997
0.0700 0.0714 0.6900 0.6777 0.1933 1.8064
0.0820 0.0832 0.3230 0.3165 0.0310 0.1124
0.9870 1.0045 0.6560 0.6448 7.7193 5.0748
