Inf_UN Sus_UN F_GT G_GT
0.5576 0.5734 6.6066 8.7337
0.6337 0.8803 5.9811 6.3782
0.8965 0.4324 2.6394 1.1949
0.3680 0.5972 0.3229 0.6199
0.5578 0.0646 2.3575 0.2843
0.0420 0.2066 0.0186 0.2045
0.3267 0.0443 2.2167 0.4276
0.7605 0.3672 3.1023 2.4127
0.1835 0.5312 0.2770 1.6644
0.6157 0.9592 4.4849 5.1786
0.5484 0.7249 9.4768 12.0459
0.6019 0.4236 3.9723 2.9593
0.8367 0.8997 3.6876 5.1647
0.5700 0.9054 1.8027 3.6291
0.4401 0.1609 5.3528 2.4971
0.7784 0.8347 3.8994 4.2861
0.0018 0.9106 0.0134 6.9836
0.8643 0.8959 1.0693 1.7241
0.2354 0.2320 1.8558 2.0998
0.9295 0.0967 5.1854 0.5795
0.0108 0.3708 0.0146 0.7186
0.2058 0.1861 1.4647 1.3862
0.9438 0.8455 18.3923 16.5650
0.3046 0.9579 0.8659 4.0387
0.8030 0.6693 4.8305 3.9093
0.2598 0.4858 3.0622 4.1553
0.9287 0.2100 5.4077 1.5355
0.1070 0.2389 0.7768 1.5761
0.0952 0.2621 1.9276 5.3348
0.6093 0.7344 13.5237 14.3907
0.8450 0.8515 7.1310 5.5264
0.4218 0.0922 6.2603 1.6383
0.9903 0.5989 1.5380 0.7694
0.2343 0.9683 0.4764 0.7460
0.9795 0.0887 18.4949 1.3943
0.0335 0.7389 0.1098 2.6358
0.7916 0.1537 8.9412 1.5257
0.8910 0.1990 13.3740 3.1708
0.0778 0.6383 0.3468 2.9933
0.3828 0.4571 3.3757 3.7157
0.2504 0.4932 3.6212 6.0830
0.3707 0.9012 3.8971 10.5289
0.8070 0.9273 4.7987 5.0890
0.7041 0.7306 4.5283 4.2175
0.6007 0.5275 5.0564 4.5841
1.1131 0.0043 0.9439 0.0027
0.1898 0.7991 2.4895 9.1073
0.2906 0.7793 1.5269 4.6765
0.5355 0.5167 0.4513 1.0714
0.0620 0.3229 0.4658 2.7408
0.9060 0.2391 2.2793 0.8636
0.5586 0.4592 3.0359 3.0224
0.5353 0.8968 2.8450 5.1865
0.2897 0.4521 0.3885 0.7427
0.1812 0.5321 0.2838 0.9398
0.0581 0.4310 0.1939 2.2166
0.8946 0.1614 7.2898 1.0359
0.6194 0.5977 2.3562 2.6278
0.3097 0.4653 0.7529 1.6856
0.4128 0.8029 2.1183 4.7050
0.0959 0.5989 0.4297 2.3588
0.5767 0.2672 2.0095 0.7757
0.0937 0.0803 0.5889 0.4995
0.0423 0.8238 0.1469 2.5159
0.8551 0.3239 2.1291 0.7221
0.2761 0.0621 0.5746 0.0986
0.5661 0.2752 2.0862 0.8146
0.6869 0.2195 0.7977 0.1816
0.8240 0.3217 2.4152 0.7072
0.7314 0.5023 0.5087 0.2600
0.7647 0.9137 6.4170 7.7220
0.5652 0.1723 1.3646 0.2658
0.7870 0.3499 2.6309 1.3273
0.4650 0.3885 0.8454 1.0175
0.6354 0.5189 1.0388 0.6207
0.2520 0.0341 1.0511 0.1658
0.2088 0.7788 3.1184 9.8531
0.8722 0.0834 15.2914 1.6232
0.5347 0.1980 2.5415 1.0218
0.3296 0.6816 4.9386 10.9644
0.6098 0.3762 4.7987 2.3548
0.6663 0.9060 2.7885 4.9789
0.6766 0.1009 4.3979 0.6435
0.9475 0.0138 8.4653 0.1361
0.9061 0.2929 2.9359 1.1936
0.8397 0.6447 4.6034 5.0932
0.3045 0.7605 1.6182 2.7721
1.0074 0.3176 12.0775 3.3241
0.5176 0.2752 5.6649 3.0167
0.6683 0.7186 1.5829 2.5624
0.4069 0.9294 8.8334 21.4078
0.2802 0.2174 1.5082 1.3151
0.6112 0.7876 10.2484 10.8018
0.6411 0.9483 5.2814 8.9030
0.9239 0.9283 10.6929 13.0146
0.7054 0.4907 9.5794 8.1296
0.6631 0.4873 5.5292 3.7355
0.8941 0.6701 5.6544 4.8349
0.9433 0.5060 16.8120 11.0181
0.6799 0.6113 11.4832 9.3156
0.1827 0.2593 2.5727 3.4588
0.4316 0.5563 4.2735 4.3810
0.4862 0.6587 2.5897 3.0559
0.5909 0.6896 1.3683 2.0873
0.1195 0.0266 1.1784 0.3045
0.0016 0.0461 0.0141 0.3667
0.0678 0.4079 1.0139 4.9573
0.4448 0.9673 4.4891 10.2311
0.8508 0.2715 8.7863 2.6641
0.2250 0.6572 3.2361 9.2834
0.4436 0.6319 4.3305 6.1451
0.5104 0.4169 3.7957 3.4671
0.9447 0.3338 11.1608 4.2796
0.0691 0.8072 1.0362 14.4232
0.3814 0.0907 1.3802 0.2215
0.5111 0.7083 3.7502 4.6323
0.4576 0.4168 3.3709 2.9582
0.2506 0.0569 0.8119 0.1815
0.0871 0.4200 0.4659 1.8264
0.0836 0.7720 0.1582 0.7705
0.4795 0.9267 0.4860 1.0859
0.7591 0.7907 7.7163 5.8083
0.7328 0.4505 3.2313 2.8742
0.6455 0.9178 1.2019 0.7876
0.2990 0.2776 1.6858 1.6978
0.8665 0.7715 7.2395 5.0710
0.5601 0.0143 0.3397 0.0106
0.8938 0.1894 21.0269 4.1124
0.1936 0.9663 0.6588 3.1197
0.2234 0.7293 1.4384 4.9679
0.5701 0.9015 0.4900 1.0648
0.2069 0.5138 3.0400 7.5048
0.7969 0.5955 6.8971 5.0564
0.5174 0.1959 5.7067 1.9304
0.0479 0.3752 0.3871 3.0866
0.4822 0.2100 6.8437 3.7546
0.8904 0.9087 2.2787 2.0600
0.3198 0.7155 4.0545 11.1767
0.9591 0.8055 3.3569 4.6168
0.4591 0.2576 2.5633 1.6126
0.3326 0.7592 2.0489 4.1834
0.3675 0.5823 0.3973 0.3008
0.0824 0.7098 0.6989 5.1398
0.0210 0.1942 0.0270 0.1679
0.4707 0.7007 2.7802 3.7650
0.0289 0.9520 0.1741 6.8628
0.2810 0.7410 1.6241 2.7038
0.4856 0.0582 0.3492 0.0031
0.4471 0.9038 4.1131 5.5991
0.6518 0.8465 6.6515 7.8103
0.0087 0.7419 0.0817 4.4923
0.9072 0.1750 7.0526 0.9992
0.1005 0.9436 0.3589 1.5800
0.3943 0.4906 3.5676 5.6910
0.0417 0.5509 0.1912 2.0680
0.4367 0.4595 0.3140 0.0242
0.6582 0.9723 1.3494 2.3049
0.7382 0.8081 4.4138 5.1670
0.9456 0.1023 3.1205 0.3056
0.1721 0.8495 0.6781 3.4970
0.0880 0.3006 0.1951 0.9115
0.6417 0.4640 5.8498 3.8010
0.8965 0.2391 9.4635 3.1484
0.1772 0.9263 2.5104 11.1125
0.2348 0.6528 1.7950 5.0001
0.9967 0.1074 12.5103 1.4338
0.4464 0.7141 1.0115 1.3623
0.6338 0.5733 1.5956 1.3308
0.2345 0.4363 2.6340 6.0145
0.7607 0.7399 4.8609 4.1826
0.1718 0.8137 1.2260 5.9384
0.0817 0.9133 0.4413 2.9050
0.0020 0.4139 0.0106 2.1895
0.6047 0.8036 3.3834 4.9289
0.4637 0.3484 2.0850 1.8678
0.5797 0.0281 1.0918 0.0369
0.8876 0.1499 9.6555 1.3946
0.4819 0.7576 1.0727 1.8243
0.8556 0.0019 9.2037 0.0181
0.9991 0.4112 3.4731 1.3477
0.8352 0.0192 2.6076 0.0447
0.3054 0.1869 3.8183 1.9299
0.0944 0.5193 0.1895 0.5675
0.4740 0.0682 6.1946 0.6461
0.2561 0.0956 1.6749 0.4804
0.4335 0.3060 2.7737 2.4603
0.1359 0.1154 0.1653 0.0298
1.0095 0.6467 6.9324 4.5959
0.6267 0.3297 0.2736 0.0162
0.4729 0.5439 0.5132 0.9659
0.0294 0.6540 0.1255 1.6884
0.3701 0.9248 2.2149 5.6416
0.2004 0.8695 0.8331 1.0355
0.8285 0.9561 15.2453 17.2630
0.4720 0.5975 3.2867 2.9347
0.3484 0.3158 1.3016 0.9852
0.0357 0.8958 0.0772 1.3678
0.8631 0.1924 10.6569 2.7382
0.2082 0.5381 0.1945 0.8057
0.3264 0.8876 2.2031 6.1288
0.8110 0.5618 5.5413 3.7218
0.3782 0.0121 1.8842 0.0378
0.8287 0.8422 8.6751 7.1710
0.7338 0.4452 0.6158 0.6126
0.6022 0.2891 1.7803 0.5311
0.1837 0.5941 0.8996 2.6680
0.2653 0.7525 1.4318 5.1893
0.1474 0.2408 1.4082 2.5529
0.1234 0.8030 1.0465 7.7901
0.4164 0.8063 2.1537 2.1642
0.6896 0.7961 9.5539 12.3569
0.2098 0.2602 1.2681 1.5662
0.1895 0.3460 0.0467 0.3465
0.0105 0.4112 0.0107 0.6991
0.4877 0.0062 1.5004 0.0213
0.8615 0.8621 7.9290 9.3937
0.3358 0.2567 3.1733 2.9513
0.0584 0.8913 0.2590 4.4916
0.9489 0.9416 4.6344 7.1418
1.0042 0.0638 6.0397 0.4532
0.0190 0.3864 0.0450 1.1694
0.3237 0.4907 4.6237 5.8467
0.0653 0.6880 0.2496 4.2739
0.7084 0.4929 6.5542 5.9816
0.5073 0.9431 2.9152 4.4376
0.7210 0.0172 8.3111 0.1591
0.6381 0.2843 12.1722 5.8332
0.3707 0.3288 9.5254 9.6007
0.9732 0.8657 6.4622 5.6935
0.9844 0.3046 7.9261 3.1544
0.2753 0.9309 1.2532 6.1952
0.6080 0.8991 3.3335 6.2266
0.2319 0.6513 1.4386 4.4855
0.5226 0.9736 6.3666 14.7592
0.6050 0.4558 4.8104 4.4990
0.0699 0.5633 1.2057 11.6905
0.1607 0.8429 0.2137 0.6363
0.1538 0.2729 0.3472 0.8386
0.6296 0.3580 5.6010 2.5010
0.6883 0.8190 0.8402 0.9928
0.8710 0.7671 3.8701 3.9463
0.3313 0.4235 1.9907 3.1127
0.2232 0.9192 0.9247 3.1759
0.2189 0.2239 0.8697 1.1880
0.2902 0.8478 1.1012 3.2400
0.5779 0.1819 5.1630 1.5040
0.7063 0.1322 5.2664 0.9058
0.6458 0.4909 4.5544 3.5509
0.8253 0.5958 16.4268 12.4581
0.8201 0.8713 15.3342 16.1105
0.2980 0.2617 4.9651 4.8136
0.6381 0.5181 2.6909 2.2622
0.3286 0.5118 3.5125 5.5314
0.5586 0.0962 1.3527 0.2717
0.9731 0.0544 1.7117 0.1509
0.0697 0.2492 0.4649 2.5218
0.5363 0.2807 4.1868 2.1440
0.8925 0.7020 5.9142 5.4028
0.9203 0.7897 6.2074 3.8190
0.0234 0.1531 0.0933 0.7411
0.1971 0.6817 0.5953 1.5725
0.6147 0.5844 9.1507 9.4555
0.4348 0.3994 5.9354 5.5612
0.9703 0.2396 4.3020 1.2993
0.5035 0.6373 1.0800 1.7501
0.1609 0.5466 1.2511 3.7287
0.6393 0.7986 3.7769 5.4668
0.3901 0.5759 1.8991 2.4881
0.4686 0.8520 0.1701 0.3963
0.6056 0.0574 1.8887 0.1527
0.9249 0.0959 13.2297 1.3089
0.6793 0.3790 3.6627 1.9045
0.5037 0.6218 9.6914 13.1118
0.8712 0.1941 2.2631 0.4338
0.5669 0.4712 2.4959 2.9090
0.7498 0.8076 7.0333 11.6462
0.9616 0.0175 7.2429 0.1591
0.2122 0.3263 1.3386 2.9174
0.8078 0.8373 8.9365 11.7794
0.8618 0.9497 4.6678 7.9504
0.7373 0.0268 5.4199 0.2428
0.9736 0.7575 6.2307 6.4549
0.0666 0.6364 0.3160 3.3947
0.7562 0.9611 11.6563 14.0664
0.1365 0.5620 1.8348 7.9684
0.7528 0.7203 5.2486 4.4338
0.8920 0.9216 6.1497 7.3270
0.3700 0.0809 4.5634 1.1238
0.4664 0.9336 0.4038 1.4235
0.0271 0.0746 0.1238 0.4035
0.2626 0.8282 5.4450 16.2979
0.5470 0.0997 1.1742 0.3256
0.6002 0.4469 2.1981 2.1723
0.1898 0.2442 1.3737 1.7772
0.9842 0.2528 2.9220 1.2986
0.6323 0.8916 7.3698 9.6136
0.4347 0.7855 2.1488 3.4585
0.8550 0.3489 2.6741 1.6119
0.1207 0.1868 0.7440 1.6436
0.2503 0.0568 0.5843 0.1251
0.0881 0.7038 0.2686 1.5264
0.7390 0.5846 5.6035 3.6030
0.6331 0.9351 3.8923 5.4622
0.9173 0.8797 9.1348 8.5528
1.0159 0.6959 12.0090 8.5986
0.8469 0.2999 3.5451 1.7190
0.7966 0.3755 5.3551 1.8180
0.6247 0.3301 6.2772 3.0110
0.4240 0.6003 2.5236 3.1405
0.1605 0.3531 1.4971 4.8383
0.8267 0.5861 4.3095 2.1394
0.6329 0.4292 2.2958 2.0831
0.4822 0.5091 3.1177 3.0189
0.0765 0.1650 0.1461 0.4714
0.5690 0.3336 3.5426 2.7515
0.3126 0.1898 0.2009 0.4063
0.5275 0.8448 1.7070 3.6582
0.0389 0.2675 0.0886 0.7711
0.3177 0.6936 0.0697 0.1202
0.0738 0.5942 0.3447 3.4384
0.5419 0.8859 2.5228 3.5394
0.9418 0.7513 7.1815 7.5334
0.1282 0.7743 0.2300 1.3506
0.3059 0.8844 5.2431 14.1052
0.6137 0.7827 3.9018 4.4984
0.4104 0.8829 2.8370 6.9807
1.0006 0.2814 5.7698 2.0022
0.6473 0.4866 3.7162 2.6103
0.3584 0.8842 6.6597 17.4488
0.0510 0.3072 0.1837 1.2053
0.5028 0.3051 0.9277 0.4679
0.0081 0.0521 0.0413 0.1745
0.3388 0.1489 1.8003 0.9639
0.0710 0.0666 0.5475 0.6772
0.1170 0.2621 0.2286 0.4198
0.0266 0.5335 0.2529 4.3434
0.2335 0.7803 0.4257 1.5833
0.2626 0.2866 1.7620 1.6649
0.5561 0.4968 2.4579 2.5092
0.9842 0.5416 6.2782 2.7167
0.4215 0.2121 5.0112 2.3881
0.8884 0.8195 5.4994 7.6234
0.4581 0.9795 0.7976 1.9679
0.2012 0.5772 0.3466 0.7682
0.4100 0.5077 1.0643 1.0446
0.4901 0.1256 3.2027 0.9462
0.6775 0.0300 8.2812 0.4166
0.6610 0.5894 1.6381 1.8367
0.1151 0.9383 1.8767 18.1254
0.1978 0.1600 0.9458 0.6589
0.4018 0.7851 1.7065 3.2831
0.2935 0.0893 1.6426 0.5523
0.0152 0.7606 0.1561 5.5819
0.8440 0.8433 4.2618 4.1638
0.9101 0.7366 12.0109 9.8509
0.3701 0.7785 0.5564 1.3024
0.0712 0.6863 0.1927 1.8111
0.0830 0.3205 0.0310 0.1143
1.0057 0.6444 7.7328 5.0827
0.1739 0.7183 0.4662 1.8514
0.6258 0.8503 6.7361 8.1377
0.0162 0.0549 0.1974 0.6696
0.0623 0.6640 0.9696 11.2473
0.5593 0.3422 1.2277 0.6573
0.7970 0.7415 6.9039 6.7703
0.9633 0.1218 4.0832 0.5468
1.0034 0.0195 6.4207 0.1098
0.4407 0.5855 1.0349 0.6370
0.3830 0.5315 1.0755 1.0968
0.5811 0.0394 2.7884 0.2018
0.5128 0.8663 2.3777 3.0577
0.3076 0.8036 1.5849 4.5516
0.7903 0.9444 0.8649 0.4878
0.3967 0.0683 1.3465 0.2492
0.2139 0.0860 1.0005 0.4392
0.6942 0.3628 5.0212 2.7067
0.6890 0.8080 2.0659 2.1936
0.1709 0.1120 1.6918 1.3403
0.9458 0.2251 8.2358 1.8176
0.8549 0.6964 5.9698 5.4539
0.3357 0.0404 2.3283 0.2631
0.3565 0.8461 1.9395 4.9761
0.6118 0.2989 0.0599 0.0752
0.0650 0.1212 0.4885 1.1329
0.6548 0.9675 1.1246 2.4408
0.9431 0.6917 3.3923 3.1165
0.6274 0.5245 0.8268 0.3337
0.7137 0.1806 0.0699 0.0454
0.1138 0.3327 0.0111 0.0837
0.7951 0.4443 5.8854 3.6421
0.2235 0.1579 0.2948 0.0497
0.5023 0.4668 1.2892 1.2868
0.0582 0.2794 0.1272 0.9434
0.4675 0.2832 2.0404 0.3605
0.9418 0.2022 7.6404 1.7456
0.2524 0.4458 2.1987 4.8639
0.2978 0.0738 0.1035 0.0602
0.5337 0.0410 4.1376 0.3179
0.4239 0.4779 5.7813 6.8888
0.7306 0.9140 3.4248 4.3992
0.0630 0.6924 0.1369 3.2060
0.2822 0.3468 1.4000 2.9382
0.2105 0.2296 1.0635 1.7604
0.8689 0.2514 3.7575 0.9053
0.1098 0.8143 0.3931 3.2699
0.9462 0.0982 2.5727 0.1501
0.8812 0.7619 8.3555 5.0131
0.2761 0.4508 1.1654 2.5771
0.0259 0.3936 0.0246 0.0166
0.4124 0.9263 0.8547 2.1145
0.2053 0.2688 0.1240 0.1270
0.8279 0.5108 3.1758 2.0399
0.3461 0.7049 2.6056 6.2863
0.2633 0.9391 0.1591 0.4437
0.3048 0.4084 0.8750 0.8418
0.5091 0.5881 2.9111 3.0617
0.1519 0.1082 0.2540 0.2858
0.4903 0.9112 2.7564 5.7616
0.2866 0.4233 0.7303 0.8428
0.2770 0.4021 0.4258 0.3823
0.6992 0.6752 0.5902 0.5993
0.1285 0.3283 0.5098 1.0911
1.0049 0.0337 4.8791 0.1614
0.2869 0.9731 0.7498 2.5365
0.6516 0.3575 0.9836 0.2069
0.1223 0.6546 0.1738 0.3242
0.4768 0.1017 5.9685 1.2353
0.4043 0.5669 1.5022 1.7917
0.7752 0.3942 1.4186 0.8301
0.9848 0.0243 1.9471 0.0295
0.2090 0.8731 0.2684 0.5606
0.2354 0.6721 0.2354 0.8903
0.3276 0.1899 1.6720 0.8866
0.0612 0.3266 0.0788 0.5184
0.4088 0.0254 1.3366 0.0883
0.2181 0.7748 0.8129 2.3618
0.5402 0.3858 4.8604 3.9908
0.0153 0.2701 0.1554 3.5408
0.6434 0.7149 0.5928 0.9580
0.9803 0.8448 8.9794 8.0846
0.5418 0.0390 1.6036 0.1069
0.7104 0.1299 0.8219 0.2815
0.9038 0.5620 1.7298 0.6449
0.8084 0.5940 7.5959 5.8063
0.7458 0.3401 0.7221 0.0161
0.4703 0.3005 1.9199 1.2206
0.2962 0.4640 4.7650 6.9427
0.6597 0.7757 2.6668 3.6763
0.6834 0.2378 6.7348 2.7847
0.4952 0.8652 4.3744 4.9421
0.6817 0.2262 1.5205 0.2205
0.1808 0.3484 0.6841 0.8692
0.4705 0.2207 2.7616 0.7242
0.4503 0.6817 1.3774 0.8147
0.1161 0.7879 0.1807 0.4200
0.9619 0.3412 3.3825 1.1708
0.5720 0.0570 4.2151 0.4090
0.4391 0.2634 1.5216 0.8655
0.1469 0.2035 2.3203 3.9853
0.8955 0.9394 3.9867 5.3287
0.2418 0.4738 0.4922 2.0894
0.9517 0.3661 2.9323 1.4823
0.9214 0.5742 9.7835 7.3495
0.0625 0.1738 0.2253 0.8573
0.1784 0.8001 0.2573 1.0197
0.7600 0.9665 7.2407 7.7561
0.4667 0.8551 1.4599 3.4033
0.1270 0.3833 1.6391 4.9488
0.8439 0.4412 1.4680 1.2658
0.3612 0.0772 0.0056 0.0165
0.1889 0.1368 0.3946 0.2557
0.9688 0.9547 0.2971 0.9008
0.4931 0.9687 7.2442 20.9168
0.4520 0.2997 0.3420 0.6611
0.0222 0.6669 0.0094 0.7033
0.3648 0.3193 1.0109 1.2330
0.2791 0.9274 0.3023 1.5854
0.8597 0.2337 0.0395 0.1038
0.8152 0.9388 6.7705 5.9914
0.1197 0.1410 1.1823 1.3730
0.4275 0.4209 1.6333 1.7945
0.2131 0.9234 0.2990 1.8774
0.3573 0.6758 5.0028 11.3380
0.7688 0.0652 1.4817 0.1280
0.1764 0.7859 1.7658 11.0697
0.7563 0.5090 7.4996 6.0753
0.9534 0.5858 8.0771 4.6019
0.2769 0.1477 0.9880 0.5150
0.9490 0.5258 8.2495 5.4215
0.1732 0.9521 0.6908 3.3196
0.3718 0.5285 1.6441 2.4578
0.1867 0.8866 0.3924 1.5817
0.6169 0.6505 8.1735 6.7037
0.8802 0.5668 6.0624 4.1306
0.4069 0.4840 1.2683 2.6012
0.6684 0.1316 2.3685 0.5448
0.3456 0.7103 1.4255 3.2551
0.0649 0.1592 0.6227 1.1291
1.0122 0.2801 4.0281 0.9099
0.7323 0.2858 1.1738 0.4874
0.6160 0.8609 1.3021 3.0281
0.6372 0.0234 2.0798 0.1156
0.0028 0.3867 0.0089 1.2848
0.4937 0.2273 0.7648 0.4774
0.9347 0.9524 2.7238 5.0243
0.2471 0.8485 1.3103 1.9494
0.4845 0.6550 4.5429 6.7306
0.4990 0.4152 0.8380 0.7337
0.2231 0.8102 1.2329 2.4077
0.0179 0.9399 0.0148 0.4998
0.9421 0.0423 0.7463 0.0172
0.4201 0.5629 1.2216 1.3823
0.7814 0.1143 0.6191 0.0466
0.9204 0.4436 0.7291 0.1806
0.0184 0.6889 0.0437 0.6323
0.8940 0.6118 2.7969 2.0361
0.2106 0.4600 0.8311 1.6817
0.0149 0.5293 0.0524 1.6579
0.4331 0.8380 1.5309 2.6578
0.7386 0.5898 2.3152 1.7246
0.9900 0.9399 1.3835 1.7868
0.7231 0.1727 1.6072 0.3843
0.7084 0.1466 0.5331 0.1312
0.2096 0.2178 1.1571 1.0586
0.0072 0.7926 0.0082 2.0655
0.0109 0.3007 0.0117 0.2726
0.4506 0.4482 2.2343 1.7037
0.5491 0.7957 2.7524 4.4565
0.3209 0.6369 1.1335 2.9284
0.5680 0.4281 0.4691 0.4009
0.3945 0.6449 0.9844 2.0681
0.6835 0.9403 0.3507 0.8618
0.6601 0.7193 2.7624 2.8990
0.6222 0.4441 0.6918 0.5763
0.1662 0.3779 0.3146 0.7788
0.8805 0.5984 4.3727 3.5126
0.5963 0.2012 2.9048 0.9152
0.1034 0.0820 0.3952 0.3759
0.0124 0.8371 0.0053 0.5775
0.9318 0.2565 1.9020 0.6668
0.5436 0.7196 1.5737 2.2518
0.5515 0.9514 2.7906 3.9491
0.9886 0.1983 4.6969 1.0004
0.2104 0.8177 1.2386 4.8109
0.8363 0.3643 3.6243 2.0994
0.5413 0.2721 0.6383 0.4683
0.6864 0.1976 0.6578 0.2762
0.5285 0.2465 0.6695 0.3068
0.2005 0.6867 1.3541 6.2227
0.8812 0.3938 1.1026 0.3609
0.8721 0.4178 4.3821 2.0158
0.6446 0.7944 3.0373 4.6519
0.5725 0.1468 2.6326 0.6366
0.7592 0.2988 3.6918 1.2123
0.4658 0.9176 4.3926 9.6342
0.7832 0.0340 4.0063 0.1567
0.6180 0.0802 2.8323 0.4829
0.8683 0.1242 3.8029 0.7861
0.1615 0.1413 0.3483 0.2002
0.4077 0.4319 0.3021 0.5623
0.6382 0.5602 2.0343 1.5688
0.5945 0.0812 0.5244 0.0516
0.0442 0.6266 0.1790 3.0663
0.6857 0.0366 1.5274 0.0836
0.9374 0.2362 0.0425 0.0775
0.3560 0.0321 1.7958 0.1685
0.8129 0.1375 1.7403 0.3705
0.6552 0.1166 0.9530 0.1546
0.7633 0.9317 1.0544 0.6563
0.6650 0.4492 2.4453 1.8734
0.1992 0.4257 0.3270 0.4240
0.0349 0.7139 0.2230 3.6224
0.0364 0.2466 0.0624 0.2978
0.1090 0.8791 0.0792 0.4834
0.5409 0.9420 0.9842 2.2428
0.6343 0.3308 0.7061 0.1882
0.7142 0.4809 0.9122 0.6969
0.6297 0.9305 0.7049 0.9753
0.9209 0.0651 1.1719 0.0553
0.6642 0.5696 0.1076 0.2515
0.7261 0.8624 0.8959 1.0558
0.9870 0.9399 10.4786 10.6237
0.1548 0.7907 0.4704 2.1571
0.4125 0.0792 0.9450 0.1796
0.3514 0.7742 0.0819 0.1832
0.3575 0.4488 1.7236 2.3114
0.5705 0.0999 3.1222 0.6327
0.4418 0.9278 1.3663 3.4608
0.7688 0.2385 4.4927 1.4380
0.0174 0.0917 0.0903 0.5282
0.4741 0.1512 0.9973 0.3898
0.6840 0.1775 2.8261 0.7849
